Name,Classification,Status,PhysicalStreetAddress,PhysicalUnitAddress,PhysicalAddressCity,PhysicalAddressZipCode
FIESTA FOODS,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store,Active,405 HEISLER ,,MAPLETON,51034
LA TAPATIA III,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store,Active,4007 SE 13TH ST ,,DES MOINES,50315
FREEMAN FOODS,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Full Service:Catering,Active,268 8TH AVE ,,WELLMAN,52356
NEW PIONEER COOP SOCIETY,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store Produce:Supermarket/Grocery Store,Active,1101 2ND ST ,,CORALVILLE,52241
WILKE'S,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Discount Grocery Deli:Supermarket/Grocery Store,Active,204 S MAIN ,,ELKADER,52043
FAREWAY STORE #639,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Discount Grocery Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,110 GATE DR ,,MAQUOKETA,52060
HY-VEE - DES MOINES #1,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Fast Food:Restaurant without liquor Seafood:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Produce:Supermarket,Active,3330 MARTIN LUTHER KING JR ,,DES MOINES,50310
HOMETOWN FOODS,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Full Service:Cafeteria Deli:Supermarket/Grocery Store,Active,601 E MAIN PO ,816,PANORA,50216
LOGAN SUPERFOODS,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,403 E 6TH ST ,,LOGAN,51546
WALMART #751,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,1650 WASHINGTON ST ,,PELLA,50219
FAREWAY STORE #829,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Discount Grocery:General,Active,4267 SERGEANT RD ,,SIOUX CITY,51106
HY-VEE,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Fast Food:Catering,Active,915 SHORT ST ,,DECORAH,52101
HY-VEE FOOD STORE,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Full Service:Restaurant without liquor,Active,320 W ST S ,,GRINNELL,50112
HY-VEE - PLEASANT HILL,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store Discount Grocery,Active,4815 MAPLE DR ,,PLEASANT HILL,50327
HY-VEE FOOD AND DRUGSTORE #1522,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store Discount Grocery,Active,141 1ST ST ,,PERRY,50220
HY-VEE - ANKENY #2,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store Full Service,Active,2510 SW STATE ST ,,ANKENY,50023
HY-VEE - WINDSOR HEIGHTS,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Produce:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store Deli:Supermarket/Grocery Store Full Service:Restaura,Active,7101 UNIVERSITY AVE ,,WINDSOR HEIGHTS,50324
HY-VEE - URBANDALE,Bakery:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Seafood:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Full Service:Restaurant with Liqour Deli:Supermarket,Active,8701 DOUGLAS AVE ,,URBANDALE,50322
